country,countrynames,score,rank,year,type
Albania,알바니아,0.728020012248094,38,2017,overall
Albania,알바니아,0.673046073011431,70,2017,economic
Albania,알바니아,0.986397485709615,87,2017,education
Albania,알바니아,0.968215525849704,120,2017,health
Albania,알바니아,0.284420964421627,31,2017,political
Algeria,알제리,0.628601778421199,127,2017,overall
Algeria,알제리,0.442491182474763,132,2017,economic
Algeria,알제리,0.9565381042732,107,2017,education
Algeria,알제리,0.969890591610111,106,2017,health
Algeria,알제리,0.14548723532672,86,2017,political
Angola,앙골라,0.640173459204168,123,2017,overall
Angola,앙골라,0.55985718251708,119,2017,economic
Angola,앙골라,0.762808479309438,139,2017,education
Angola,앙골라,0.976097199507188,64,2017,health
Angola,앙골라,0.261930975482967,39,2017,political
Argentina,아르헨티나,0.732436014402871,34,2017,overall
Argentina,아르헨티나,0.595588121099982,111,2017,economic
Argentina,아르헨티나,0.998129560847224,44,2017,education
Argentina,아르헨티나,0.979557997452017,1,2017,health
Argentina,아르헨티나,0.356468378212262,21,2017,political
Armenia,아르메니아,0.677055514176677,97,2017,overall
Armenia,아르메니아,0.671216214397731,71,2017,economic
Armenia,아르메니아,0.9985209298773561,42,2017,education
Armenia,아르메니아,0.939156412592085,143,2017,health
Armenia,아르메니아,0.0993284998395351,111,2017,political
Australia,오스트레일리아,0.731393051562521,35,2017,overall
Australia,오스트레일리아,0.723901021952503,42,2017,economic
Australia,오스트레일리아,1,1,2017,education
Australia,오스트레일리아,0.970154256931514,104,2017,health
Australia,오스트레일리아,0.23151692736606796,48,2017,political
Austria,오스트리아,0.709483533301073,57,2017,overall
Austria,오스트리아,0.659551467027232,80,2017,economic
Austria,오스트리아,0.988037190886259,84,2017,education
Austria,오스트리아,0.974602813488406,72,2017,health
Austria,오스트리아,0.215742661802394,54,2017,political
Azerbaijan,아제르바이잔,0.676225334947103,98,2017,overall
Azerbaijan,아제르바이잔,0.71654574778554,45,2017,economic
Azerbaijan,아제르바이잔,0.984475254671781,91,2017,education
Azerbaijan,아제르바이잔,0.941340341069068,142,2017,health
Azerbaijan,아제르바이잔,0.0625399962620234,131,2017,political
Bahamas,바하마,0.742852423071073,27,2017,overall
Bahamas,바하마,0.870841893105231,3,2017,economic
Bahamas,바하마,1,1,2017,education
Bahamas,바하마,0.978152445334533,50,2017,health
Bahamas,바하마,0.122415353844527,98,2017,political
Bahrain,바레인,0.631589979125224,126,2017,overall
Bahrain,바레인,0.537052074087512,120,2017,economic
Bahrain,바레인,0.991067187031363,75,2017,education
Bahrain,바레인,0.961356042779172,136,2017,health
Bahrain,바레인,0.0368846126028509,137,2017,political
Bangladesh,방글라데시,0.719429200399826,47,2017,overall
Bangladesh,방글라데시,0.465050583764101,129,2017,economic
Bangladesh,방글라데시,0.954018539090561,111,2017,education
Bangladesh,방글라데시,0.9661413657165651,125,2017,health
Bangladesh,방글라데시,0.49250631302807707,7,2017,political
Barbados,바베이도스,0.750047095111702,23,2017,overall
Barbados,바베이도스,0.876936316892275,2,2017,economic
Barbados,바베이도스,1,1,2017,education
Barbados,바베이도스,0.9731402837993851,83,2017,health
Barbados,바베이도스,0.150111779755149,82,2017,political
Belarus,벨라루스,0.744419972260717,26,2017,overall
Belarus,벨라루스,0.8270496154322309,5,2017,economic
Belarus,벨라루스,0.9994872224621151,35,2017,education
Belarus,벨라루스,0.9785227011145019,45,2017,health
Belarus,벨라루스,0.172620350034021,73,2017,political
Belgium,벨기에,0.739108672665131,31,2017,overall
Belgium,벨기에,0.716201226469137,46,2017,economic
Belgium,벨기에,1,1,2017,education
Belgium,벨기에,0.976240149449156,63,2017,health
Belgium,벨기에,0.26399331474223,37,2017,political
Belize,벨리즈,0.692037922661168,79,2017,overall
Belize,벨리즈,0.772278169333852,21,2017,economic
Belize,벨리즈,0.9875360058335318,85,2017,education
Belize,벨리즈,0.976297320347977,61,2017,health
Belize,벨리즈,0.0320401951293125,139,2017,political
Benin,베냉,0.651907343622028,116,2017,overall
Benin,베냉,0.864227333758134,4,2017,economic
Benin,베냉,0.713642036779951,142,2017,education
Benin,베냉,0.9644237356861829,131,2017,health
Benin,베냉,0.0653362682638435,129,2017,political
Bhutan,부탄,0.638432941273288,124,2017,overall
Bhutan,부탄,0.621803716229061,103,2017,economic
Bhutan,부탄,0.9164364266550021,123,2017,education
Bhutan,부탄,0.959212220413741,137,2017,health
Bhutan,부탄,0.0562794017953469,134,2017,political
Bolivia,볼리비아,0.758251491780983,17,2017,overall
Bolivia,볼리비아,0.6920555202835381,60,2017,economic
Bolivia,볼리비아,0.956487388629439,108,2017,education
Bolivia,볼리비아,0.976032459279861,69,2017,health
Bolivia,볼리비아,0.408430598931092,14,2017,political
Bosnia and Herzegovina,보스니아 헤르체고비나,0.702394603029275,66,2017,overall
Bosnia and Herzegovina,보스니아 헤르체고비나,0.574985586809652,116,2017,economic
Bosnia and Herzegovina,보스니아 헤르체고비나,0.980510124517203,92,2017,education
