area,name,rank,score,aver
경제적 참여 및 기회,남성대비 여성 노동 인구 비율,91,0.731,0.665
경제적 참여 및 기회,임금 수준에서의 격차,125,0.524,0.622
경제적 참여 및 기회,승진에서의 격차,120,0.45,0.502
경제적 참여 및 기회,남성대비 여성 고위직 비율,114,0.117,0.358
경제적 참여 및 기회,남성대비 여성 기술직 근로자 비율,78,0.928,0.086
교육적 성취,남성대비 여성 문해율,66,0.993,0.897
교육적 성취,초등학교 진학률 차이,79,0.994,0.98
교육적 성취,중학교 진학률 차이,99,0.991,0.97
교육적 성취,고등학교 및 대학 이상 진학률 차이,112,0.754,0.93
건강과 생존,신생아 성비,125,0.935,0.918
건강과 생존,성별 기대수명의 차이,1,1.06,1.043
정치적 권한,국회의원 성비 차이,90,0.205,0.269
정치적 권한,장관급인사 성비 차이,128,0.063,0.238
정치적 권한,최근 50년 사이의 총리 및 대통령 중 여성비율,29,0.094,0.204
