country,area,part,score,rank,worldAver
한국,경제적 참여와 기회영역,남성대비 여성 노동인구 비율,0.732,91,0.667
한국,경제적 참여와 기회영역,유사 노동 동일 임금,0.51,121,0.634
한국,경제적 참여와 기회영역,추정소득,0.447,121,0.509
한국,경제적 참여와 기회영역,남성대비 여성 고위직 비율,0.117,117,0.320
한국,경제적 참여와 기회영역,남성대비 여성 기술직 근로자 비율,0.928,76,0.758
한국,교육적 참여,초등학교 진학률 차이,0.995,84,0.979
한국,교육적 참여,중학교 진학률 차이,0.992,101,0.971
한국,교육적 참여,고등학교 및 대학 이상 진학률 차이,0.765,112,0.938
한국,건강과 생존,신생아 성비,0.935,132,0.920
한국,건강과 생존,성별 기대수명의 차이,1.06,1,1.037
한국,정치적 권한,국회의원 성비 차이,0.205,97,0.279
한국,정치적 권한,장관급 인사 성비차이,0.1,115,0.209
한국,정치적 권한,근 50년 총리 및 대통령 중 여성비율,0.104,28,0.2
